EXP	ALIGN	TF_UNIPROT_AC	TF_UNIPROT_ID	GTRD_CELL_TYPE_ID	GTRD_CELL_TYPE_NAME	BAD_GROUP_ID	BAD_GROUP_NAME	ENCODE	GEO_GSE	IS_CONTROL
EXP000288	ALIGNS034263	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	38	MCF7__Invasive_ductal_breast_carcinoma_@GSE14664	None	GSE14664	False
EXP000289	ALIGNS034264	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	38	MCF7__Invasive_ductal_breast_carcinoma_@GSE14664	None	GSE14664	False
EXP000290	ALIGNS034284	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	38	MCF7__Invasive_ductal_breast_carcinoma_@GSE14664	None	GSE14664	False
EXP000292	ALIGNS034285	38	P63_HUMAN	215	keratinocytes	39	keratinocytes@GSE17611	None	GSE17611	False
EXP000293	ALIGNS033117	38	P63_HUMAN	215	keratinocytes	39	keratinocytes@GSE17611	None	GSE17611	False
EXP000294	ALIGNS034282	39	KLF4_HUMAN	376	WA01 (H1, human embryonic stem cells)	40	WA01__H1__human_embryonic_stem_cells_@GSE17917	None	GSE17917	False
EXP000295	ALIGNS034281	40	MYC_HUMAN	376	WA01 (H1, human embryonic stem cells)	40	WA01__H1__human_embryonic_stem_cells_@GSE17917	None	GSE17917	False
EXP000297	ALIGNS033107	22	PO5F1_HUMAN	376	WA01 (H1, human embryonic stem cells)	40	WA01__H1__human_embryonic_stem_cells_@GSE17917	None	GSE17917	False
EXP000298	ALIGNS033266	41	TAF1_HUMAN	376	WA01 (H1, human embryonic stem cells)	40	WA01__H1__human_embryonic_stem_cells_@GSE17917	None	GSE17917	False
EXP000299	ALIGNS033265	42	ETS1_HUMAN	510	Jurkat E6.1 (T-cells)	41	Jurkat_E6_1__T-cells_@GSE17954	None	GSE17954	False
EXP000300	ALIGNS033084	43	RUNX1_HUMAN	510	Jurkat E6.1 (T-cells)	41	Jurkat_E6_1__T-cells_@GSE17954	None	GSE17954	False
EXP000306	ALIGNS034273	44	HNF4A_HUMAN	430	HepG2 (hepatoblastoma)	42	HepG2__hepatoblastoma_@GSE18989	None	GSE18989	False
EXP000307	ALIGNS034272	44	HNF4A_HUMAN	430	HepG2 (hepatoblastoma)	42	HepG2__hepatoblastoma_@GSE18989	None	GSE18989	False
EXP000308	ALIGNS034271	45	HNF4G_HUMAN	430	HepG2 (hepatoblastoma)	42	HepG2__hepatoblastoma_@GSE18989	None	GSE18989	False
EXP000309	ALIGNS033082	46	JUN_HUMAN	514	K562 (myelogenous leukemia)	43	K562__myelogenous_leukemia_@GSE19545	None	GSE19545	False
EXP000310	ALIGNS033201	47	FOS_HUMAN	514	K562 (myelogenous leukemia)	44	K562__myelogenous_leukemia_@GSE19546	None	GSE19546	False
EXP000311	ALIGNS033202	40	MYC_HUMAN	514	K562 (myelogenous leukemia)	45	K562__myelogenous_leukemia_@GSE19547	None	GSE19547	False
EXP000324	ALIGNS033174	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000325	ALIGNS033173	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000326	ALIGNS033176	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000327	ALIGNS033175	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000328	ALIGNS034365	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000329	ALIGNS033170	48	P53_HUMAN	848	U2OS (osteosarcoma)	48	U2OS__osteosarcoma_@GSE21939	None	GSE21939	False
EXP000344	ALIGNS033123	15	VDR_HUMAN	340	GM10855 (female B-cells)	49	GM10855__female_B-cells_@GSE22484	None	GSE22484	False
EXP000345	ALIGNS033077	15	VDR_HUMAN	340	GM10855 (female B-cells)	49	GM10855__female_B-cells_@GSE22484	None	GSE22484	False
EXP000346	ALIGNS033259	15	VDR_HUMAN	341	GM10861 (female B-cells)	50	GM10861__female_B-cells_@GSE22484	None	GSE22484	False
EXP000347	ALIGNS033152	15	VDR_HUMAN	341	GM10861 (female B-cells)	50	GM10861__female_B-cells_@GSE22484	None	GSE22484	False
EXP000351	ALIGNS034359	50	GATA1_HUMAN	598	megakaryocytes	51	megakaryocytes@GSE24674	None	GSE24674	False
EXP000352	ALIGNS034360	51	GATA2_HUMAN	598	megakaryocytes	51	megakaryocytes@GSE24674	None	GSE24674	False
EXP000353	ALIGNS034361	43	RUNX1_HUMAN	598	megakaryocytes	51	megakaryocytes@GSE24674	None	GSE24674	False
EXP000354	ALIGNS034356	14	FLI1_HUMAN	598	megakaryocytes	51	megakaryocytes@GSE24674	None	GSE24674	False
EXP000355	ALIGNS034357	30	TAL1_HUMAN	598	megakaryocytes	51	megakaryocytes@GSE24674	None	GSE24674	False
EXP000362	ALIGNS033291	52	PPARG_HUMAN	2334	THP-1 (acute monocytic leukemia)	52	THP-1__acute_monocytic_leukemia_@GSE25426	None	GSE25426	False
EXP000363	ALIGNS034459	16	RXRA_HUMAN	2334	THP-1 (acute monocytic leukemia)	52	THP-1__acute_monocytic_leukemia_@GSE25426	None	GSE25426	False
EXP000364	ALIGNS034443	53	SPI1_HUMAN	2334	THP-1 (acute monocytic leukemia)	52	THP-1__acute_monocytic_leukemia_@GSE25426	None	GSE25426	False
EXP000370	ALIGNS033053	54	EOMES_HUMAN	396	WA09 (embryonic stem cells)	53	WA09__embryonic_stem_cells_@GSE26097	None	GSE26097	False
EXP000379	ALIGNS034239	55	NFYA_HUMAN	514	K562 (myelogenous leukemia)	54	K562__myelogenous_leukemia_@GSE26439	None	GSE26439	False
EXP000380	ALIGNS034309	56	NFYB_HUMAN	514	K562 (myelogenous leukemia)	54	K562__myelogenous_leukemia_@GSE26439	None	GSE26439	False
EXP000392	ALIGNS034396	57	STAT1_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000393	ALIGNS034397	57	STAT1_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000394	ALIGNS034398	58	STAT4_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000395	ALIGNS034399	58	STAT4_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000396	ALIGNS034400	59	STA5A_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000397	ALIGNS034401	59	STA5A_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000398	ALIGNS034394	60	STA5B_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000399	ALIGNS034395	60	STA5B_HUMAN	882	T-cells	55	T-cells@GSE27158	None	GSE27158	False
EXP000406	ALIGNS034409	61	ANDR_HUMAN	70	LNCaP (prostate carcinoma)	56	LNCaP__prostate_carcinoma_@GSE28126	None	GSE28126	False
EXP000407	ALIGNS033228	61	ANDR_HUMAN	70	LNCaP (prostate carcinoma)	56	LNCaP__prostate_carcinoma_@GSE28126	None	GSE28126	False
EXP000408	ALIGNS034372	61	ANDR_HUMAN	71	VCaP (prostate carcinoma)	57	VCaP__prostate_carcinoma_@GSE28126	None	GSE28126	False
EXP000409	ALIGNS033182	61	ANDR_HUMAN	71	VCaP (prostate carcinoma)	57	VCaP__prostate_carcinoma_@GSE28126	None	GSE28126	False
EXP000414	ALIGNS033158	62	NCOA1_HUMAN	563	LY-2 (invasive ductal carcinoma)	58	LY-2__invasive_ductal_carcinoma_@GSE28987	None	GSE28987	False
EXP000415	ALIGNS033157	62	NCOA1_HUMAN	563	LY-2 (invasive ductal carcinoma)	58	LY-2__invasive_ductal_carcinoma_@GSE28987	None	GSE28987	False
EXP000423	ALIGNS033104	63	SUH_HUMAN	474	IB4 (lymphocytes)	59	IB4__lymphocytes_@GSE29498	None	GSE29498	False
EXP000426	ALIGNS034289	64	ETV4_HUMAN	725	PC3(bone mets prostate adenocarcinoma)	60	PC3_bone_mets_prostate_adenocarcinoma_@GSE29808	None	GSE29808	False
EXP000427	ALIGNS034290	65	JUND_HUMAN	725	PC3(bone mets prostate adenocarcinoma)	60	PC3_bone_mets_prostate_adenocarcinoma_@GSE29808	None	GSE29808	False
EXP000430	ALIGNS034354	42	ETS1_HUMAN	781	RWPE1 (prostate epithelial cells)	61	RWPE1__prostate_epithelial_cells_@GSE29808	None	GSE29808	False
EXP000431	ALIGNS034352	29	GABPA_HUMAN	781	RWPE1 (prostate epithelial cells)	61	RWPE1__prostate_epithelial_cells_@GSE29808	None	GSE29808	False
EXP000432	ALIGNS034355	66	ERG_HUMAN	781	RWPE1 (prostate epithelial cells)	61	RWPE1__prostate_epithelial_cells_@GSE29808	None	GSE29808	False
EXP000433	ALIGNS033168	28	ETV1_HUMAN	781	RWPE1 (prostate epithelial cells)	61	RWPE1__prostate_epithelial_cells_@GSE29808	None	GSE29808	False
EXP000436	ALIGNS033169	65	JUND_HUMAN	356	GM12878 (female B-cells lymphoblastoid cell line)	62	GM12878__female_B-cells_lymphoblastoid_cell_line_@GSE30399	None	GSE30399	False
EXP000437	ALIGNS033281	47	FOS_HUMAN	356	GM12878 (female B-cells lymphoblastoid cell line)	62	GM12878__female_B-cells_lymphoblastoid_cell_line_@GSE30399	None	GSE30399	False
EXP000438	ALIGNS033185	67	MAX_HUMAN	356	GM12878 (female B-cells lymphoblastoid cell line)	62	GM12878__female_B-cells_lymphoblastoid_cell_line_@GSE30399	None	GSE30399	False
EXP000439	ALIGNS033183	40	MYC_HUMAN	356	GM12878 (female B-cells lymphoblastoid cell line)	62	GM12878__female_B-cells_lymphoblastoid_cell_line_@GSE30399	None	GSE30399	False
EXP000444	ALIGNS033269	68	FOXP1_HUMAN	396	WA09 (embryonic stem cells)	63	WA09__embryonic_stem_cells_@GSE31006	None	GSE31006	False
EXP000451	ALIGNS034377	23	CTCF_HUMAN	92	BJAB (Burkitt lymphoma)	64	BJAB__Burkitt_lymphoma_@GSE31485	None	GSE31485	False
EXP000453	ALIGNS034374	23	CTCF_HUMAN	94	BL41(Burkitt lymphoma)	65	BL41_Burkitt_lymphoma_@GSE31485	None	GSE31485	False
EXP000455	ALIGNS034382	48	P53_HUMAN	489	IMR90 (lung fibroblasts)	66	IMR90__lung_fibroblasts_@GSE31558	None	GSE31558	False
EXP000471	ALIGNS034243	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	68	MCF7__Invasive_ductal_breast_carcinoma_@GSE35109	None	GSE35109	False
EXP000472	ALIGNS034245	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	68	MCF7__Invasive_ductal_breast_carcinoma_@GSE35109	None	GSE35109	False
EXP000473	ALIGNS034244	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	68	MCF7__Invasive_ductal_breast_carcinoma_@GSE35109	None	GSE35109	False
EXP000474	ALIGNS034242	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	68	MCF7__Invasive_ductal_breast_carcinoma_@GSE35109	None	GSE35109	False
EXP000489	ALIGNS033052	57	STAT1_HUMAN	423	HeLa S3 (cervical adenocarcinoma)	69	HeLa_S3__cervical_adenocarcinoma_@GSE12782	None	GSE12782	False
EXP000505	ALIGNS033074	57	STAT1_HUMAN	423	HeLa S3 (cervical adenocarcinoma)	70	HeLa_S3__cervical_adenocarcinoma_@GSE15353	None	GSE15353	False
EXP000506	ALIGNS033075	57	STAT1_HUMAN	423	HeLa S3 (cervical adenocarcinoma)	70	HeLa_S3__cervical_adenocarcinoma_@GSE15353	None	GSE15353	False
EXP000508	ALIGNS033073	70	P73_HUMAN	783	SaOS2 (osteosarcoma)	71	SaOS2__osteosarcoma_@GSE15780	None	GSE15780	False
EXP000509	ALIGNS033072	70	P73_HUMAN	783	SaOS2 (osteosarcoma)	71	SaOS2__osteosarcoma_@GSE15780	None	GSE15780	False
EXP000510	ALIGNS033143	48	P53_HUMAN	783	SaOS2 (osteosarcoma)	71	SaOS2__osteosarcoma_@GSE15780	None	GSE15780	False
EXP000514	ALIGNS034306	71	STAT6_HUMAN	881	CD4+ T-cells	72	CD4+_T-cells@GSE17850	None	GSE17850	False
EXP000515	ALIGNS034307	71	STAT6_HUMAN	881	CD4+ T-cells	72	CD4+_T-cells@GSE17850	None	GSE17850	False
EXP000516	ALIGNS034305	71	STAT6_HUMAN	881	CD4+ T-cells	72	CD4+_T-cells@GSE17850	None	GSE17850	False
EXP000517	ALIGNS034275	71	STAT6_HUMAN	881	CD4+ T-cells	72	CD4+_T-cells@GSE17850	None	GSE17850	False
EXP000518	ALIGNS034269	71	STAT6_HUMAN	881	CD4+ T-cells	72	CD4+_T-cells@GSE17850	None	GSE17850	False
EXP000523	ALIGNS033190	50	GATA1_HUMAN	514	K562 (myelogenous leukemia)	74	K562__myelogenous_leukemia_@GSE18868	None	GSE18868	False
EXP000524	ALIGNS033189	51	GATA2_HUMAN	514	K562 (myelogenous leukemia)	74	K562__myelogenous_leukemia_@GSE18868	None	GSE18868	False
EXP000526	ALIGNS033267	72	ZN263_HUMAN	514	K562 (myelogenous leukemia)	75	K562__myelogenous_leukemia_@GSE19235	None	GSE19235	False
EXP000528	ALIGNS033187	73	SMAD2_HUMAN	396	WA09 (embryonic stem cells)	76	WA09__embryonic_stem_cells_@GSE19461	None	GSE19461	False
EXP000529	ALIGNS033186	73	SMAD2_HUMAN	397	H9-derived endodermal progenitors	77	H9-derived_endodermal_progenitors@GSE19461	None	GSE19461	False
EXP000537	ALIGNS034386	74	E2F1_HUMAN	78	HeLa (cervical adenocarcinoma)	78	HeLa__cervical_adenocarcinoma_@GSE22478	None	GSE22478	False
EXP000551	ALIGNS034323	23	CTCF_HUMAN	402	pancreatic islets	79	pancreatic_islets@GSE23784	None	GSE23784	False
EXP000552	ALIGNS033156	23	CTCF_HUMAN	402	pancreatic islets	79	pancreatic_islets@GSE23784	None	GSE23784	False
EXP000555	ALIGNS034322	25	AP2C_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	80	MCF7__Invasive_ductal_breast_carcinoma_@GSE23852	None	GSE23852	False
EXP000556	ALIGNS034320	25	AP2C_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	80	MCF7__Invasive_ductal_breast_carcinoma_@GSE23852	None	GSE23852	False
EXP000557	ALIGNS034321	75	FOXA1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	80	MCF7__Invasive_ductal_breast_carcinoma_@GSE23852	None	GSE23852	False
EXP000558	ALIGNS034462	75	FOXA1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	80	MCF7__Invasive_ductal_breast_carcinoma_@GSE23852	None	GSE23852	False
EXP000559	ALIGNS034463	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	81	MCF7__Invasive_ductal_breast_carcinoma_@GSE24166	None	GSE24166	False
EXP000560	ALIGNS034405	6	ESR1_HUMAN	113	MCF7 (Invasive ductal breast carcinoma)	81	MCF7__Invasive_ductal_breast_carcinoma_@GSE24166	None	GSE24166	False
EXP000564	ALIGNS034408	26	E2F4_HUMAN	603	mesenchymal stem cells-derived adipocytes	82	mesenchymal_stem_cells-derived_adipocytes@GSE24326	None	GSE24326	False
EXP000565	ALIGNS034407	76	CEBPA_HUMAN	603	mesenchymal stem cells-derived adipocytes	82	mesenchymal_stem_cells-derived_adipocytes@GSE24326	None	GSE24326	False
EXP000566	ALIGNS034406	77	HSF1_HUMAN	603	mesenchymal stem cells-derived adipocytes	82	mesenchymal_stem_cells-derived_adipocytes@GSE24326	None	GSE24326	False
EXP000570	ALIGNS033061	78	SMRC1_HUMAN	423	HeLa S3 (cervical adenocarcinoma)	83	HeLa_S3__cervical_adenocarcinoma_@GSE24397	None	GSE24397	False
EXP000571	ALIGNS033062	79	SMRC2_HUMAN	423	HeLa S3 (cervical adenocarcinoma)	83	HeLa_S3__cervical_adenocarcinoma_@GSE24397	None	GSE24397	False
EXP000572	ALIGNS033063	80	ZN274_HUMAN	514	K562 (myelogenous leukemia)	84	K562__myelogenous_leukemia_@GSE24632	None	GSE24632	False
EXP000573	ALIGNS033064	80	ZN274_HUMAN	430	HepG2 (hepatoblastoma)	85	HepG2__hepatoblastoma_@GSE24632	None	GSE24632	False
